Ullman,,,,,,,,,,,,,,,,
30,,,56,,,75,,,92,,,109,,,121,
2152,1,,3876,2,,4728,4,,4568,6,,4544,8,,5520,12
2152,1,,3880,2,,4728,4,,4572,6,,4548,8,,5524,12
2152,1,,3876,2,,4728,4,,4568,6,,4544,8,,5520,13
2152,1,,3877.3333333333,2,,4728,4,,4569.3333333333,6,,4545.3333333333,8,,5521.3333333333,12.3333333333
148,,,166,,,181,,,197,,,211,,,222,
6232,14,,6472,17,,8180,21,,7668,27,,8928,26,,10876,29
6236,14,,6476,17,,8184,21,,7668,24,,8928,26,,10880,29
6232,14,,6472,17,,8180,20,,7668,23,,8928,26,,10876,29
6233.3333333333,14,,6473.3333333333,17,,8181.3333333333,20.6666666667,,7668,24.6666666667,,8928,26,,10877.3333333333,29
250,,,,,,,,,,,,,,,,
2756,36,,,,,,,,,,,,,,,
2760,37,,,,,,,,,,,,,,,
2756,37,,,,,,,,,,,,,,,
2757.3333333333,36.6666666667,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
VF2,,,,,,,,,,,,,,,,
30,,,56,,,75,,,92,,,109,,,121,
2064,113432,,3240,0,,3616,0,,2964,0,,2572,0,,2692,0
2060,113083,,3236,0,,3616,0,,2960,0,,2568,0,,2688,0
2060,112701,,3240,0,,3616,0,,2964,0,,2572,0,,2692,0
2061.3333333333,113072,,3238.6666666667,0,,3616,0,,2962.6666666667,0,,2570.6666666667,0,,2690.6666666667,0
148,,,166,,,181,,,197,,,211,,,222,
2828,0,,2392,0,,3088,0,,1860,0,,2364,0,,3608,0
2824,0,,2388,0,,3084,0,,1860,0,,2360,0,,3604,0
2828,0,,2392,0,,3088,0,,1860,0,,2360,0,,3608,0
2826.6666666667,0,,2390.6666666667,0,,3086.6666666667,0,,1860,0,,2361.3333333333,0,,3606.6666666667,0
250,,,,,,,,,,,,,,,,
2712,0,,,,,,,,,,,,,,,
2708,0,,,,,,,,,,,,,,,
2708,0,,,,,,,,,,,,,,,
2709.3333333333,0,,,,,,,,,,,,,,,
